Dataset,Task,Metric,Activation,Avg_Score,Max_Score,Min_Score,Epochs_As_Best,Overall_Winner,Leader_Changes
tanh,Regression,R2,Sw,0.964964902639389,0.9881033897399902,-0.20610177516937256,0,LR,61
tanh,Regression,R2,LgS,0.9673038330078125,0.9880524277687073,-0.04010474681854248,0,LR,61
tanh,Regression,R2,Si,0.9208888652324676,0.9881888031959534,-0.019024133682250977,0,LR,61
tanh,Regression,R2,Mish,0.96827427983284,0.9882028102874756,-0.18817508220672607,0,LR,61
tanh,Regression,R2,U,0.0015312931537628173,0.3586444854736328,-0.12718260288238525,0,LR,61
log,Regression,R2,E,0.955046002984047,0.9858526587486267,-1.031374454498291,1,ReLU6,71
log,Regression,R2,XER,0.973734566450119,0.9862380027770996,-1.1122486591339111,153,ReLU6,71
log,Regression,R2,R,0.9299470863342285,0.9861416816711426,-0.2887742519378662,32,ReLU6,71
log,Regression,R2,LR,0.9568052092790603,0.9860670566558838,-0.2872570753097534,0,ReLU6,71
log,Regression,R2,PR,0.9529178828001023,0.9860743880271912,-0.3373316526412964,0,ReLU6,71
log,Regression,R2,RR,0.929179927945137,0.9854552149772644,-0.6026173830032349,0,ReLU6,71
log,Regression,R2,G,0.9414001317024231,0.9855157136917114,-0.3314168453216553,0,ReLU6,71
log,Regression,R2,S,0.9262128889560699,0.9854453206062317,-1.6119422912597656,0,ReLU6,71
log,Regression,R2,C,0.9653367786407471,0.985481321811676,-0.14500343799591064,0,ReLU6,71
log,Regression,R2,ELU,0.9481681965589523,0.9856153726577759,-2.1261978149414062,0,ReLU6,71
log,Regression,R2,SELU,0.9705431959629058,0.9859111905097961,-0.7928723096847534,6,ReLU6,71
log,Regression,R2,T,0.9419438499212265,0.9852631688117981,-1.3710768222808838,0,ReLU6,71
log,Regression,R2,HT,0.9650064342021942,0.9861963987350464,-0.06897008419036865,26,ReLU6,71
log,Regression,R2,ST,0.912230140209198,0.985633373260498,-1.7090656757354736,0,ReLU6,71
log,Regression,R2,SS,-0.026989820957183837,1.1920928955078125e-07,-0.5693773031234741,0,ReLU6,71
log,Regression,R2,HS,0.9042485438585282,0.969131350517273,-1.5185139179229736,1,ReLU6,71
log,Regression,R2,ReLU6,0.9631225225925446,0.9862515330314636,-0.23022723197937012,281,ReLU6,71
log,Regression,R2,Sw,0.8680675361156464,0.985354483127594,-2.216264009475708,0,ReLU6,71
log,Regression,R2,LgS,0.923124752163887,0.9849776029586792,-1.2153701782226562,0,ReLU6,71
log,Regression,R2,Si,0.7054805386066437,0.9847722053527832,-1.0436921119689941,0,ReLU6,71
log,Regression,R2,Mish,0.9486762073040008,0.985417366027832,-1.4588782787322998,0,ReLU6,71
log,Regression,R2,U,0.5458122311830521,0.9764832854270935,-9.70302677154541,0,ReLU6,71
exp,Regression,R2,E,0.9440656105279922,0.9584127068519592,-1.1173522472381592,84,HT,71
exp,Regression,R2,XER,0.8933908320665359,0.9584118723869324,-8.92119026184082,0,HT,71
exp,Regression,R2,R,0.9354969604015351,0.9583544135093689,0.02081376314163208,3,HT,71
exp,Regression,R2,LR,0.9387562112808228,0.9585887789726257,0.013571739196777344,117,HT,71
exp,Regression,R2,PR,0.9303905822038651,0.9584708213806152,-1.2156977653503418,44,HT,71
exp,Regression,R2,RR,0.9232754800319671,0.9588148593902588,-0.18151652812957764,2,HT,71
exp,Regression,R2,G,0.9377162648439408,0.9580885767936707,-0.12164092063903809,0,HT,71
exp,Regression,R2,S,0.9117196682691574,0.9573923349380493,-1.7469096183776855,0,HT,71
exp,Regression,R2,C,0.9165824575424194,0.9582120180130005,-1.6284403800964355,0,HT,71
exp,Regression,R2,ELU,0.9358590792417526,0.9580084085464478,-1.2657206058502197,0,HT,71
exp,Regression,R2,SELU,0.9200232286453247,0.9575884938240051,-2.689537763595581,0,HT,71
exp,Regression,R2,T,0.9002430729866028,0.9579773545265198,-1.6717360019683838,0,HT,71
exp,Regression,R2,HT,0.9447192376852036,0.9585657119750977,-0.06189239025115967,248,HT,71
exp,Regression,R2,ST,0.9286249431371689,0.9582682847976685,-0.14669811725616455,0,HT,71
exp,Regression,R2,SS,-0.16248181235790252,1.7881393432617188e-07,-2.680928945541382,0,HT,71
exp,Regression,R2,HS,0.8655511578321456,0.9530566930770874,-2.288646697998047,0,HT,71
